species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,2,40.8,18.9,208,4300,0
Adelie,2,38.1,18.6,190,3700,1
Adelie,2,40.3,18.5,196,4350,0
Adelie,2,33.1,16.1,178,2900,1
Adelie,2,43.2,18.5,192,4100,0
Adelie,1,35.0,17.9,192,3725,1
Adelie,1,41.0,20.0,203,4725,0
Adelie,1,37.7,16.0,183,3075,1
Adelie,1,37.8,20.0,190,4250,0
Adelie,1,37.9,18.6,193,2925,1
Adelie,1,39.7,18.9,184,3550,0
Adelie,1,38.6,17.2,199,3750,1
Adelie,1,38.2,20.0,190,3900,0
Adelie,1,38.1,17.0,181,3175,1
Adelie,1,43.2,19.0,197,4775,0
Adelie,1,38.1,16.5,198,3825,1
Adelie,1,45.6,20.3,191,4600,0
Adelie,1,39.7,17.7,193,3200,1
Adelie,1,42.2,19.5,197,4275,0
Adelie,1,39.6,20.7,191,3900,1
Adelie,1,42.7,18.3,196,4075,0
Adelie,0,38.6,17.0,188,2900,1
Adelie,0,37.3,20.5,199,3775,0
Adelie,0,35.7,17.0,189,3350,1
Adelie,0,41.1,18.6,189,3325,0
Adelie,0,36.2,17.2,187,3150,1
Adelie,0,37.7,19.8,198,3500,0
Adelie,0,40.2,17.0,176,3450,1
Adelie,0,41.4,18.5,202,3875,0
Adelie,0,35.2,15.9,186,3050,1
Adelie,0,40.6,19.0,199,4000,0
Adelie,0,38.8,17.6,191,3275,1
Adelie,0,41.5,18.3,195,4300,0
Adelie,0,39.0,17.1,191,3050,1
Adelie,0,44.1,18.0,210,4000,0
Adelie,0,38.5,17.9,190,3325,1
Adelie,0,43.1,19.2,197,3500,0
Adelie,2,36.8,18.5,193,3500,1
Adelie,2,37.5,18.5,199,4475,0
Adelie,2,38.1,17.6,187,3425,1
Adelie,2,41.1,17.5,190,3900,0
Adelie,2,35.6,17.5,191,3175,1
Adelie,2,40.2,20.1,200,3975,0
Adelie,2,37.0,16.5,185,3400,1
Adelie,2,39.7,17.9,193,4250,0
Adelie,2,40.2,17.1,193,3400,1
Adelie,2,40.6,17.2,187,3475,0
Adelie,2,32.1,15.5,188,3050,1
Adelie,2,40.7,17.0,190,3725,0
Adelie,2,37.3,16.8,192,3000,1
Adelie,2,39.0,18.7,185,3650,0
Adelie,2,39.2,18.6,190,4250,0
Adelie,2,36.6,18.4,184,3475,1
Adelie,2,36.0,17.8,195,3450,1
Adelie,2,37.8,18.1,193,3750,0
Adelie,2,36.0,17.1,187,3700,1
Adelie,2,41.5,18.5,201,4000,0
Chinstrap,2,46.5,17.9,192,3500,1
Chinstrap,2,50.0,19.5,196,3900,0
Chinstrap,2,51.3,19.2,193,3650,0
Chinstrap,2,45.4,18.7,188,3525,1
Chinstrap,2,52.7,19.8,197,3725,0
Chinstrap,2,45.2,17.8,198,3950,1
Chinstrap,2,46.1,18.2,178,3250,1
Chinstrap,2,51.3,18.2,197,3750,0
Chinstrap,2,46.0,18.9,195,4150,1
Chinstrap,2,51.3,19.9,198,3700,0
Chinstrap,2,46.6,17.8,193,3800,1
Chinstrap,2,51.7,20.3,194,3775,0
Chinstrap,2,47.0,17.3,185,3700,1
Chinstrap,2,52.0,18.1,201,4050,0
Chinstrap,2,45.9,17.1,190,3575,1
Chinstrap,2,50.5,19.6,201,4050,0
Chinstrap,2,50.3,20.0,197,3300,0
Chinstrap,2,58.0,17.8,181,3700,1
Chinstrap,2,46.4,18.6,190,3450,1
Chinstrap,2,49.2,18.2,195,4400,0
Chinstrap,2,42.4,17.3,181,3600,1
Chinstrap,2,48.5,17.5,191,3400,0
Chinstrap,2,43.2,16.6,187,2900,1
Chinstrap,2,50.6,19.4,193,3800,0
Chinstrap,2,46.7,17.9,195,3300,1
Chinstrap,2,52.0,19.0,197,4150,0
Chinstrap,2,50.5,18.4,200,3400,1
Chinstrap,2,49.5,19.0,200,3800,0
Chinstrap,2,46.4,17.8,191,3700,1
Chinstrap,2,52.8,20.0,205,4550,0
Chinstrap,2,40.9,16.6,187,3200,1
Chinstrap,2,54.2,20.8,201,4300,0
Chinstrap,2,42.5,16.7,187,3350,1
Chinstrap,2,51.0,18.8,203,4100,0
Chinstrap,2,49.7,18.6,195,3600,0
Chinstrap,2,47.5,16.8,199,3900,1
Chinstrap,2,47.6,18.3,195,3850,1
Chinstrap,2,52.0,20.7,210,4800,0
Chinstrap,2,46.9,16.6,192,2700,1
Chinstrap,2,53.5,19.9,205,4500,0
Chinstrap,2,49.0,19.5,210,3950,0
Chinstrap,2,46.2,17.5,187,3650,1
Chinstrap,2,50.9,19.1,196,3550,0
Chinstrap,2,45.5,17.0,196,3500,1
Chinstrap,2,50.9,17.9,196,3675,1
Chinstrap,2,50.8,18.5,201,4450,0
Chinstrap,2,50.1,17.9,190,3400,1
Chinstrap,2,49.0,19.6,212,4300,0
Chinstrap,2,51.5,18.7,187,3250,0
Chinstrap,2,49.8,17.3,198,3675,1
Chinstrap,2,48.1,16.4,199,3325,1
Chinstrap,2,51.4,19.0,201,3950,0
Chinstrap,2,45.7,17.3,193,3600,1
Chinstrap,2,50.7,19.7,203,4050,0
Chinstrap,2,42.5,17.3,187,3350,1
Chinstrap,2,52.2,18.8,197,3450,0
Chinstrap,2,45.2,16.6,191,3250,1
Chinstrap,2,49.3,19.9,203,4050,0
Chinstrap,2,50.2,18.8,202,3800,0
Chinstrap,2,45.6,19.4,194,3525,1
Chinstrap,2,51.9,19.5,206,3950,0
Chinstrap,2,46.8,16.5,189,3650,1
Chinstrap,2,45.7,17.0,195,3650,1
Chinstrap,2,55.8,19.8,207,4000,0
Chinstrap,2,43.5,18.1,202,3400,1
Chinstrap,2,49.6,18.2,193,3775,0
Chinstrap,2,50.8,19.0,210,4100,0
Chinstrap,2,50.2,18.7,198,3775,1
Gentoo,1,46.1,13.2,211,4500,1
Gentoo,1,50.0,16.3,230,5700,0
Gentoo,1,48.7,14.1,210,4450,1
Gentoo,1,50.0,15.2,218,5700,0
Gentoo,1,47.6,14.5,215,5400,0
Gentoo,1,46.5,13.5,210,4550,1
Gentoo,1,45.4,14.6,211,4800,1
Gentoo,1,46.7,15.3,219,5200,0
Gentoo,1,43.3,13.4,209,4400,1
Gentoo,1,46.8,15.4,215,5150,0
Gentoo,1,40.9,13.7,214,4650,1
Gentoo,1,49.0,16.1,216,5550,0
Gentoo,1,45.5,13.7,214,4650,1
Gentoo,1,48.4,14.6,213,5850,0
Gentoo,1,45.8,14.6,210,4200,1
Gentoo,1,49.3,15.7,217,5850,0
Gentoo,1,42.0,13.5,210,4150,1
Gentoo,1,49.2,15.2,221,6300,0
Gentoo,1,46.2,14.5,209,4800,1
Gentoo,1,48.7,15.1,222,5350,0
Gentoo,1,50.2,14.3,218,5700,0
Gentoo,1,45.1,14.5,215,5000,1
Gentoo,1,46.5,14.5,213,4400,1
Gentoo,1,46.3,15.8,215,5050,0
Gentoo,1,42.9,13.1,215,5000,1
Gentoo,1,46.1,15.1,215,5100,0
Gentoo,1,47.8,15.0,215,5650,0
Gentoo,1,48.2,14.3,210,4600,1
Gentoo,1,50.0,15.3,220,5550,0
Gentoo,1,47.3,15.3,222,5250,0
Gentoo,1,42.8,14.2,209,4700,1
Gentoo,1,45.1,14.5,207,5050,1
Gentoo,1,59.6,17.0,230,6050,0
Gentoo,1,49.1,14.8,220,5150,1
Gentoo,1,48.4,16.3,220,5400,0
Gentoo,1,42.6,13.7,213,4950,1
Gentoo,1,44.4,17.3,219,5250,0
Gentoo,1,44.0,13.6,208,4350,1
Gentoo,1,48.7,15.7,208,5350,0
Gentoo,1,42.7,13.7,208,3950,1
Gentoo,1,49.6,16.0,225,5700,0
Gentoo,1,45.3,13.7,210,4300,1
Gentoo,1,49.6,15.0,216,4750,0
Gentoo,1,50.5,15.9,222,5550,0
Gentoo,1,43.6,13.9,217,4900,1
Gentoo,1,45.5,13.9,210,4200,1
Gentoo,1,50.5,15.9,225,5400,0
Gentoo,1,44.9,13.3,213,5100,1
Gentoo,1,45.2,15.8,215,5300,0
Gentoo,1,46.6,14.2,210,4850,1
Gentoo,1,48.5,14.1,220,5300,0
Gentoo,1,45.1,14.4,210,4400,1
Gentoo,1,50.1,15.0,225,5000,0
Gentoo,1,46.5,14.4,217,4900,1
Gentoo,1,45.0,15.4,220,5050,0
Gentoo,1,43.8,13.9,208,4300,1
Gentoo,1,45.5,15.0,220,5000,0
Gentoo,1,43.2,14.5,208,4450,1
Gentoo,1,50.4,15.3,224,5550,0
Gentoo,1,45.3,13.8,208,4200,1
Gentoo,1,46.2,14.9,221,5300,0
Gentoo,1,45.7,13.9,214,4400,1
Gentoo,1,54.3,15.7,231,5650,0
Gentoo,1,45.8,14.2,219,4700,1
Gentoo,1,49.8,16.8,230,5700,0
Gentoo,1,49.5,16.2,229,5800,0
Gentoo,1,43.5,14.2,220,4700,1
Gentoo,1,50.7,15.0,223,5550,0
Gentoo,1,47.7,15.0,216,4750,1
Gentoo,1,46.4,15.6,221,5000,0
Gentoo,1,48.2,15.6,221,5100,0
Gentoo,1,46.5,14.8,217,5200,1
Gentoo,1,46.4,15.0,216,4700,1
Gentoo,1,48.6,16.0,230,5800,0
Gentoo,1,47.5,14.2,209,4600,1
Gentoo,1,51.1,16.3,220,6000,0
Gentoo,1,45.2,13.8,215,4750,1
Gentoo,1,45.2,16.4,223,5950,0
Gentoo,1,49.1,14.5,212,4625,1
Gentoo,1,52.5,15.6,221,5450,0
Gentoo,1,47.4,14.6,212,4725,1
Gentoo,1,50.0,15.9,224,5350,0
Gentoo,1,44.9,13.8,212,4750,1
Gentoo,1,50.8,17.3,228,5600,0
Gentoo,1,43.4,14.4,218,4600,1
Gentoo,1,51.3,14.2,218,5300,0
Gentoo,1,47.5,14.0,212,4875,1
Gentoo,1,52.1,17.0,230,5550,0
Gentoo,1,47.5,15.0,218,4950,1
Gentoo,1,52.2,17.1,228,5400,0
Gentoo,1,45.5,14.5,212,4750,1
Gentoo,1,49.5,16.1,224,5650,0
Gentoo,1,44.5,14.7,214,4850,1
Gentoo,1,50.8,15.7,226,5200,0
Gentoo,1,49.4,15.8,216,4925,0
Gentoo,1,46.9,14.6,222,4875,1
Gentoo,1,48.4,14.4,203,4625,1
Gentoo,1,51.1,16.5,225,5250,0
Gentoo,1,48.5,15.0,219,4850,1
Gentoo,1,55.9,17.0,228,5600,0
Gentoo,1,47.2,15.5,215,4975,1
Gentoo,1,49.1,15.0,228,5500,0
Gentoo,1,46.8,16.1,215,5500,0
Gentoo,1,41.7,14.7,210,4700,1
Gentoo,1,53.4,15.8,219,5500,0
Gentoo,1,43.3,14.0,208,4575,1
Gentoo,1,48.1,15.1,209,5500,0
Gentoo,1,50.5,15.2,216,5000,1
Gentoo,1,49.8,15.9,229,5950,0
Gentoo,1,43.5,15.2,213,4650,1
Gentoo,1,51.5,16.3,230,5500,0
Gentoo,1,46.2,14.1,217,4375,1
Gentoo,1,55.1,16.0,230,5850,0
Gentoo,1,48.8,16.2,222,6000,0
Gentoo,1,47.2,13.7,214,4925,1
Gentoo,1,46.8,14.3,215,4850,1
Gentoo,1,50.4,15.7,222,5750,0
Gentoo,1,45.2,14.8,212,5200,1
Gentoo,1,49.9,16.1,213,5400,0
